,user_id,user_age,user_sex
248,1515915625519409040,25,m
249,1515915625519409110,26,m
251,1515915625519409028,18,m
252,1515915625519408974,59,m
258,1515915625519407440,47,f
260,1515915625519410002,77,m
261,1515915625447624881,25,m
262,1515915625519410054,74,f
265,1515915625519410412,60,f
266,1515915625519410290,65,f
269,1515915625519410552,68,m
270,1515915625519410699,50,m
271,1515915625519410625,55,f
272,1515915625519276933,40,f
274,1515915625425875161,78,f
275,1515915625519410912,62,f
276,1515915625516054492,61,f
277,1515915625519411326,30,f
278,1515915625379491111,19,f
279,1515915625519410933,33,m
280,1515915625519411490,25,m
282,1515915625519411232,73,m
284,1515915625519412339,76,f
286,1515915625508455658,42,m
289,1515915625519412521,36,m
291,1515915625519412963,76,m
292,1515915625519412753,23,m
293,1515915625514902385,54,m
294,1515915625519413563,84,f
295,1515915625519413443,49,m
296,1515915625519413953,47,m
298,1515915625518103390,45,f
299,1515915625519413944,76,f
300,1515915625519413844,56,m
301,1515915625519413187,55,f
302,1515915625518971679,65,m
303,1515915625519414273,83,f
307,1515915625519413554,58,m
309,1515915625519413846,24,f
310,1515915625519414849,75,m
311,1515915625519415050,81,m
315,1515915625519414691,77,m
318,1515915625519415453,55,m
319,1515915625519415793,80,m
321,1515915625519397646,32,f
323,1515915625462404425,22,f
325,1515915625519416152,76,m
328,1515915625519416390,60,m
330,1515915625360775587,55,m
333,1515915625519417221,44,m
335,1515915625519417750,84,m
338,1515915625516323548,55,m
339,1515915625519417940,77,m
340,1515915625499464170,59,f
343,1515915625519416831,38,m
344,1515915625519418420,81,m
346,1515915625519418398,29,f
347,1515915625519418218,28,m
348,1515915625519418511,75,f
349,1515915625519412452,78,m
351,1515915625519418575,39,m
352,1515915625519418178,42,f
354,1515915625508240534,51,f
356,1515915625519419274,41,m
357,1515915625519419278,56,m
359,1515915625519419312,40,m
360,1515915625519419295,50,m
361,1515915625519419342,81,m
363,1515915625519419456,39,m
365,1515915625519419411,48,f
367,1515915625451472213,73,m
369,1515915625519419776,59,f
370,1515915625519419779,26,f
371,1515915625519419864,82,m
372,1515915625407246095,51,m
373,1515915625420115279,24,m
376,1515915625519420150,68,m
377,1515915625519420618,65,f
379,1515915625361168949,82,m
380,1515915625519420883,39,f
381,1515915625519419798,51,m
384,1515915625519421081,74,m
385,1515915625519420976,58,m
387,1515915625518361446,38,m
389,1515915625519421513,52,m
390,1515915625519421517,19,m
391,1515915625399431063,53,f
393,1515915625519421618,51,m
394,1515915625457059599,45,f
395,1515915625519420421,75,m
396,1515915625519421807,35,f
398,1515915625519421978,56,m
399,1515915625519421729,56,f
400,1515915625454237078,56,m
401,1515915625404266915,29,f
402,1515915625519344745,22,m
406,1515915625423439973,74,f
407,1515915625519071433,20,m
409,1515915625519422575,79,m
412,1515915625436447303,81,m
413,1515915625519422882,43,f
416,1515915625447699065,33,f
417,1515915625462038992,38,m
418,1515915625513762866,33,m
420,1515915625394687208,51,m
421,1515915625519423378,24,m
422,1515915625519423407,77,m
423,1515915625509321340,44,m
425,1515915625518450815,33,m
426,1515915625519423538,47,m
428,1515915625391495749,58,f
430,1515915625519423770,76,m
431,1515915625519423879,49,m
434,1515915625499071792,83,m
435,1515915625485268071,70,f
436,1515915625519423883,61,m
438,1515915625466016884,38,m
440,1515915625519424460,62,f
441,1515915625519243564,75,f
443,1515915625519424804,26,f
449,1515915625519425291,29,f
450,1515915625519425296,63,m
451,1515915625519425324,20,m
453,1515915625519425412,42,m
454,1515915625519425408,70,m
456,1515915625519425264,27,m
458,1515915625519425893,31,m
461,1515915625519426165,74,f
462,1515915625519426221,79,m
463,1515915625518525545,82,f
464,1515915625519426482,46,m
465,1515915625519426442,18,m
466,1515915625519426515,84,m
467,1515915625519426770,65,f
468,1515915625519426780,55,m
469,1515915625519426806,44,m
471,1515915625519426876,62,f
473,1515915625519426960,20,m
475,1515915625519427004,19,f
476,1515915625358482476,74,f
477,1515915625358854047,69,m
478,1515915625519427163,43,f
480,1515915625519426422,36,m
481,1515915625519427222,38,m
482,1515915625519427303,32,m
483,1515915625519427449,55,m
486,1515915625519427427,72,m
487,1515915625519427747,66,m
488,1515915625519427561,82,f
489,1515915625519427916,23,m
490,1515915625519428041,73,m
492,1515915625519428358,70,f
493,1515915625519428374,53,f
494,1515915625519427738,34,m
495,1515915625517971554,69,m
496,1515915625519428509,18,m
497,1515915625519428312,39,m
498,1515915625519428767,80,f
499,1515915625519428166,70,m
501,1515915625430158092,44,m
502,1515915625519429238,34,f
503,1515915625519429272,84,m
504,1515915625519429356,80,m
506,1515915625511128269,77,f
507,1515915625519429641,69,f
508,1515915625519429557,62,m
510,1515915625519428864,22,m
511,1515915625519429853,45,m
515,1515915625519430353,33,f
516,1515915625519429558,74,m
517,1515915625519430368,78,m
520,1515915625364926536,42,m
523,1515915625519430779,56,m
524,1515915625519430791,62,m
526,1515915625510893063,82,m
527,1515915625519431138,22,f
529,1515915625519410518,22,m
530,1515915625519345234,31,m
533,1515915625519431210,49,m
534,1515915625519431986,79,m
535,1515915625470764265,55,f
538,1515915625511636170,60,f
539,1515915625519432483,40,m
540,1515915625519432530,61,f
541,1515915625508065690,71,f
542,1515915625518223398,54,f
543,1515915625519432685,60,f
544,1515915625518069587,75,m
545,1515915625519428097,47,m
546,1515915625519432888,32,m
548,1515915625519432765,50,f
549,1515915625519431268,73,m
553,1515915625515985972,70,m
554,1515915625519432469,44,m
556,1515915625519433710,83,f
557,1515915625404217008,35,m
559,1515915625509230844,80,m
562,1515915625519433515,81,m
563,1515915625519434059,31,m
565,1515915625519433209,65,m
566,1515915625519433747,67,m
567,1515915625519433752,57,m
568,1515915625519434394,64,f
571,1515915625519434505,45,m
573,1515915625519434860,24,f
574,1515915625519433784,80,m
576,1515915625519433893,64,m
577,1515915625517822643,30,f
579,1515915625517639028,22,f
582,1515915625519435402,40,f
585,1515915625519435674,60,m
586,1515915625519435703,64,f
591,1515915625519436239,31,m
593,1515915625519436335,48,m
594,1515915625517729391,80,m
596,1515915625519403446,63,m
599,1515915625519436797,32,f
600,1515915625519436931,30,f
601,1515915625519436934,45,m
602,1515915625494310778,22,m
603,1515915625519437086,51,m
604,1515915625519436707,74,f
605,1515915625519436994,74,m
607,1515915625494175739,49,m
609,1515915625519436601,54,m
610,1515915625519437924,33,m
615,1515915625519437786,30,m
617,1515915625519438496,68,m
618,1515915625519438518,30,m
627,1515915625519439451,67,m
628,1515915625453356510,71,m
630,1515915625519439628,28,m
631,1515915625519439430,44,f
632,1515915625519439704,37,m
633,1515915625499720939,48,m
634,1515915625513906035,65,f
636,1515915625519439308,59,f
640,1515915625519440314,54,m
641,1515915625519440236,75,m
642,1515915625519440503,21,m
643,1515915625519440686,37,f
644,1515915625482978862,26,m
646,1515915625519426002,28,f
647,1515915625519439941,55,m
648,1515915625519441087,59,m
649,1515915625518553793,83,m
650,1515915625519441839,73,f
653,1515915625519440936,22,f
655,1515915625519442198,26,m
656,1515915625519442451,63,f
658,1515915625519442829,79,m
659,1515915625519442960,82,f
660,1515915625519442566,36,m
661,1515915625519443097,48,f
662,1515915625519443758,36,m
663,1515915625519444205,81,m
664,1515915625519444465,63,m
665,1515915625519444362,46,f
666,1515915625519443407,58,m
667,1515915625361494174,39,m
668,1515915625519443086,29,f
671,1515915625519443466,80,m
672,1515915625519366985,42,m
673,1515915625519444868,67,f
674,1515915625519445129,73,f
675,1515915625519445445,25,m
676,1515915625476392560,41,m
679,1515915625517217207,65,m
681,1515915625519445609,28,m
682,1515915625519446107,80,m
683,1515915625519445830,74,f
685,1515915625519445978,32,f
687,1515915625519446240,37,m
688,1515915625519446417,71,f
689,1515915625519446644,61,m
690,1515915625519446467,32,m
691,1515915625519446642,76,m
693,1515915625519447325,42,m
695,1515915625445661251,34,f
697,1515915625519447687,61,m
698,1515915625519447806,76,m
699,1515915625389630243,49,m
700,1515915625519447901,34,m
703,1515915625519447922,69,f
706,1515915625519448512,18,f
707,1515915625519448618,21,f
708,1515915625519448732,33,f
711,1515915625519448909,18,f
712,1515915625519448524,56,f
713,1515915625514937604,33,f
714,1515915625519449152,42,m
715,1515915625477761663,32,m
716,1515915625519449278,46,m
718,1515915625519449565,77,m
719,1515915625519449580,62,m
720,1515915625519449597,48,m
721,1515915625519449763,35,m
724,1515915625469644429,42,f
725,1515915625519450424,25,f
726,1515915625519450523,31,m
728,1515915625519450632,36,m
729,1515915625380681854,40,m
730,1515915625519450694,30,f
731,1515915625493844402,71,m
732,1515915625519450619,61,f
734,1515915625519450968,71,m
735,1515915625519450912,49,f
736,1515915625519451004,39,f
741,1515915625519451196,33,m
742,1515915625461533149,40,m
744,1515915625519451348,83,m
745,1515915625519451433,21,f
746,1515915625425059411,24,m
747,1515915625519451557,19,m
749,1515915625519451652,54,m
752,1515915625519451709,42,f
753,1515915625519451735,23,f
757,1515915625519452131,38,m
759,1515915625364167640,20,m
763,1515915625519452465,58,m
764,1515915625519452570,63,m
765,1515915625519452313,33,m
768,1515915625519452890,66,m
769,1515915625360858185,24,m
770,1515915625518164604,29,f
771,1515915625356769228,32,f
773,1515915625519453393,39,m
774,1515915625519453734,81,m
776,1515915625519452732,18,m
777,1515915625519453599,27,m
778,1515915625519454126,60,f
779,1515915625519454240,66,f
781,1515915625517146957,51,m
782,1515915625519454466,27,f
783,1515915625519454544,21,f
785,1515915625519454124,49,m
787,1515915625519454796,58,m
788,1515915625519454838,35,f
789,1515915625519454953,80,m
791,1515915625519453603,39,m
793,1515915625519455079,21,m
794,1515915625519454971,84,f
797,1515915625519456219,47,m
799,1515915625519454753,50,m
800,1515915625519456404,41,m
801,1515915625498875644,36,f
803,1515915625519456696,24,m
812,1515915625519457150,26,m
814,1515915625519457252,77,m
817,1515915625516606150,69,f
819,1515915625519455878,34,m
823,1515915625516815366,70,m
824,1515915625518328416,32,f
825,1515915625519211087,52,f
826,1515915625519443342,59,f
828,1515915625390107328,70,m
830,1515915625517348428,26,m
831,1515915625519458565,79,f
834,1515915625514479969,78,m
835,1515915625519458867,32,m
836,1515915625507863566,35,m
840,1515915625519459347,79,m
842,1515915625519459445,66,m
845,1515915625519459552,38,f
846,1515915625519459560,35,f
848,1515915625518079824,58,m
849,1515915625519459684,59,m
851,1515915625519459869,45,m
852,1515915625519459364,47,f
853,1515915625506634888,61,f
856,1515915625511241382,53,m
859,1515915625519460662,37,f
861,1515915625510306675,56,m
863,1515915625510656515,45,m
865,1515915625519462149,65,f
866,1515915625519461833,30,m
868,1515915625519461967,29,m
869,1515915625519462272,71,m
870,1515915625519461386,76,m
876,1515915625519463038,37,f
877,1515915625519463118,48,m
880,1515915625519463179,27,m
882,1515915625519463332,31,f
884,1515915625517888998,66,f
885,1515915625519463641,58,m
886,1515915625431839972,68,f
889,1515915625516589858,83,m
891,1515915625515099250,29,m
892,1515915625518875317,52,f
893,1515915625519464718,59,m
894,1515915625519464736,37,f
896,1515915625519465199,28,m
897,1515915625519465193,56,m
899,1515915625519465364,37,m
900,1515915625519465401,25,m
901,1515915625519045356,25,m
902,1515915625519465593,56,m
906,1515915625517481778,53,m
908,1515915625519465832,75,f
909,1515915625519466239,43,f
910,1515915625519466402,51,m
912,1515915625519466554,36,m
913,1515915625519466579,68,f
916,1515915625473437603,61,m
918,1515915625519466746,39,m
921,1515915625473275668,62,f
923,1515915625519288972,20,f
927,1515915625517346811,38,m
928,1515915625518054389,63,m
929,1515915625519466241,70,f
930,1515915625517514388,27,m
932,1515915625519468106,54,m
933,1515915625519467378,36,m
934,1515915625519468181,83,m
936,1515915625477683108,66,m
940,1515915625519468736,28,m
941,1515915625355805313,22,f
942,1515915625519468911,71,m
945,1515915625519469130,84,m
948,1515915625518580202,81,f
951,1515915625519469406,30,m
952,1515915625519468843,23,m
956,1515915625519061698,35,m
960,1515915625519469241,49,m
961,1515915625519469582,36,m
962,1515915625519468896,54,m
963,1515915625519470063,84,f
964,1515915625519470141,53,m
967,1515915625519470384,40,m
968,1515915625519470492,71,m
969,1515915625519470612,36,m
971,1515915625519470631,60,f
978,1515915625519469594,31,f
982,1515915625519471416,70,m
983,1515915625518239165,46,f
984,1515915625519471441,63,f
989,1515915625519470194,24,m
991,1515915625517319279,44,f
992,1515915625512149573,50,f
993,1515915625519471871,52,m
994,1515915625360911267,84,m
995,1515915625519471969,53,f
996,1515915625519472039,80,m
997,1515915625519472155,75,f
999,1515915625519470475,62,m
1000,1515915625462631711,76,f
1006,1515915625353555928,41,m
1007,1515915625519473059,21,m
1008,1515915625519457888,20,m
1009,1515915625519473045,84,f
1012,1515915625519473718,78,m
1013,1515915625451704590,32,m
1015,1515915625519473821,33,f
1016,1515915625411226312,67,m
1017,1515915625519474026,55,f
1018,1515915625519473984,82,m
1020,1515915625519474229,37,f
1022,1515915625519474823,41,m
1023,1515915625519474777,34,m
1025,1515915625519474999,71,m
1027,1515915625519474875,32,m
1028,1515915625519475527,52,m
1031,1515915625519475483,37,m
1034,1515915625517115943,30,f
1035,1515915625519475027,25,m
1037,1515915625519475949,73,f
1040,1515915625519476456,52,m
1041,1515915625518199573,43,f
1043,1515915625519476656,45,m
1044,1515915625452361963,45,m
1045,1515915625519476791,67,m
1046,1515915625519476846,23,f
1047,1515915625519271524,22,m
1048,1515915625519477101,23,m
1049,1515915625519477104,38,f
1050,1515915625519477115,31,m
1051,1515915625519477135,83,m
1052,1515915625517131566,22,m
1053,1515915625486867073,74,m
1055,1515915625519477241,57,m
1056,1515915625498829894,28,f
1057,1515915625519477617,55,f
1058,1515915625519477793,81,m
1059,1515915625507094883,71,f
1060,1515915625519477888,60,f
1061,1515915625519477943,28,m
1064,1515915625519478122,44,f
1066,1515915625424108203,52,f
1068,1515915625436640924,51,m
1069,1515915625399147881,28,m
1071,1515915625518945783,77,m
1072,1515915625519477801,59,f
1077,1515915625519479043,45,f
1081,1515915625519289093,55,f
1082,1515915625519479471,72,m
1086,1515915625509387730,70,m
1088,1515915625519480609,71,m
1090,1515915625503751892,19,f
1095,1515915625519481294,64,m
1097,1515915625519481297,20,m
1098,1515915625515364772,41,m
1099,1515915625519481382,38,m
1101,1515915625462496326,71,m
1102,1515915625519472670,57,m
1103,1515915625519481635,60,f
1105,1515915625519481748,42,f
1106,1515915625519481959,69,f
1107,1515915625519482316,52,m
1108,1515915625519482550,42,m
1109,1515915625519481333,39,m
1110,1515915625509759714,34,f
1112,1515915625519482518,78,m
1114,1515915625519482801,28,f
1116,1515915625519465582,36,f
1120,1515915625519483257,69,f
1121,1515915625519483292,37,m
1123,1515915625518103464,83,f
1124,1515915625483517929,34,m
1125,1515915625519483153,29,f
1128,1515915625519483962,21,f
1129,1515915625519484058,61,f
1130,1515915625519484075,58,f
1131,1515915625519484043,39,f
1132,1515915625519484100,65,m
1134,1515915625519483694,70,f
1137,1515915625516760633,70,m
1138,1515915625519483732,52,f
1139,1515915625510591278,67,f
1140,1515915625519483947,82,m
1142,1515915625514135653,61,f
1144,1515915625519484696,68,m
1146,1515915625519484722,22,m
1149,1515915625519484866,20,m
1151,1515915625519475600,28,f
1154,1515915625519485241,75,m
1155,1515915625519485180,36,m
1157,1515915625519485540,53,f
1158,1515915625519485527,64,m
1159,1515915625519485763,62,m
1160,1515915625519485959,70,m
1161,1515915625519485928,74,m
1162,1515915625519485905,53,m
1163,1515915625519486388,36,m
1166,1515915625519083423,29,m
1168,1515915625519486470,28,f
1170,1515915625519486927,22,m
1171,1515915625518227912,80,m
1172,1515915625519487068,64,m
1175,1515915625504719208,68,f
1176,1515915625519487334,49,f
1177,1515915625519487105,81,m
1178,1515915625519487094,36,m
1183,1515915625519487696,36,m
1184,1515915625519482363,70,f
1185,1515915625516951637,79,m
1186,1515915625519487734,18,f
1187,1515915625519487839,79,m
1188,1515915625519487856,66,f
1195,1515915625519488475,38,m
1198,1515915625519488749,78,m
1199,1515915625519488887,55,f
1200,1515915625519488907,24,m
1204,1515915625519488903,22,m
1206,1515915625519489156,74,m
1207,1515915625519489380,43,f
1208,1515915625519489782,40,f
1209,1515915625519489813,34,f
1211,1515915625519490062,44,m
1212,1515915625519490245,72,m
1213,1515915625519490257,75,m
1216,1515915625519490681,24,m
1217,1515915625519490825,78,m
1218,1515915625519490951,19,f
1219,1515915625519490655,42,f
1220,1515915625519491047,19,f
1223,1515915625519490303,40,f
1224,1515915625519490880,77,m
1226,1515915625519112115,39,f
1227,1515915625519491446,37,m
1228,1515915625519491451,20,m
1232,1515915625519491938,74,m
1233,1515915625519491983,35,m
1234,1515915625519081944,77,m
1235,1515915625519492027,25,m
1237,1515915625519492150,56,m
1240,1515915625519491915,51,f
1241,1515915625519492413,32,f
1242,1515915625519492425,63,m
1243,1515915625517530263,41,f
1244,1515915625519492222,55,m
1250,1515915625519492764,42,m
1254,1515915625519491535,58,m
1255,1515915625512176731,31,f
1257,1515915625389617269,39,m
1258,1515915625519493120,52,f
1259,1515915625519493078,63,m
1260,1515915625519493168,61,m
1261,1515915625519493208,71,f
1262,1515915625428096879,45,m
1263,1515915625519493620,70,m
1264,1515915625519044580,26,m
1265,1515915625519493674,28,m
1266,1515915625519493657,35,m
1269,1515915625519493584,32,m
1270,1515915625519493956,23,f
1271,1515915625455628013,21,m
1272,1515915625519489760,63,m
1273,1515915625519494129,18,f
1274,1515915625519494537,67,m
1275,1515915625519494549,76,f
1276,1515915625519494578,33,f
1277,1515915625425937660,34,m
1279,1515915625519494438,65,m
1283,1515915625517362679,71,f
1284,1515915625519494812,29,m
1286,1515915625513160306,68,f
1287,1515915625519495049,41,m
1288,1515915625519495152,34,m
1292,1515915625519495301,23,f
1298,1515915625519495513,40,m
1300,1515915625519495217,75,f
1301,1515915625519495560,57,f
1303,1515915625519495697,65,f
1304,1515915625519495639,25,m
1306,1515915625519495736,19,m
1308,1515915625451223759,40,m
1309,1515915625495301984,78,m
1314,1515915625519496172,30,f
1316,1515915625519495898,27,f
1317,1515915625519496522,32,m
1319,1515915625519496667,78,m
1321,1515915625410728920,28,f
1322,1515915625516490771,84,f
1326,1515915625519497246,69,m
1327,1515915625519100158,39,m
1328,1515915625519497663,44,f
1329,1515915625405725185,75,f
1330,1515915625519498047,44,m
1332,1515915625519498075,76,f
1333,1515915625519498137,54,m
1335,1515915625519498152,35,m
1336,1515915625519497934,42,f
1337,1515915625513341971,45,f
1338,1515915625519498155,72,m
1340,1515915625519495480,24,f
1341,1515915625401339571,40,m
1342,1515915625519498670,39,m
1346,1515915625519498846,63,m
1349,1515915625519498076,63,m
1352,1515915625518227376,75,m
1353,1515915625511501356,23,m
1356,1515915625519499670,32,m
1357,1515915625519499800,50,m
1358,1515915625519499707,69,f
1359,1515915625519499836,81,m
1364,1515915625519500276,51,m
1365,1515915625519500293,67,m
1366,1515915625519500125,42,m
1368,1515915625519500449,62,m
1369,1515915625505192216,68,m
1370,1515915625519500676,25,m
1372,1515915625519501025,61,m
1373,1515915625519501095,64,f
1374,1515915625519500970,46,m
1378,1515915625519501315,75,m
1379,1515915625361960275,52,m
1381,1515915625519488931,83,f
1382,1515915625516858504,34,f
1384,1515915625519501363,37,m
1385,1515915625519501158,59,f
1386,1515915625519501485,76,m
1389,1515915625519501606,18,f
1391,1515915625519501670,75,f
1397,1515915625519502238,82,m
1398,1515915625355814440,50,m
1399,1515915625369602988,45,m
1401,1515915625519502452,66,m
1403,1515915625519496297,77,m
1405,1515915625415474736,43,m
1408,1515915625519502659,23,f
1410,1515915625519502747,43,m
1417,1515915625519503054,18,f
1418,1515915625519502736,42,m
1420,1515915625519503753,39,f
1422,1515915625519502906,38,m
1423,1515915625518606110,49,m
1425,1515915625354082427,44,m
1426,1515915625519391240,69,f
1427,1515915625519504171,36,m
1428,1515915625519504368,81,f
1429,1515915625519504376,78,f
1430,1515915625519504455,36,m
1431,1515915625363210368,62,m
1432,1515915625519504626,58,m
1433,1515915625512033512,32,m
1434,1515915625519504743,51,f
1435,1515915625519504448,32,m
1436,1515915625518904426,37,f
1437,1515915625519504844,82,m
1438,1515915625477695227,20,f
1440,1515915625519458494,40,m
1442,1515915625519504548,30,f
1450,1515915625519505430,68,m
1451,1515915625519505457,77,f
1452,1515915625519505569,55,m
1453,1515915625518516099,42,f
1455,1515915625519505634,23,m
1457,1515915625519505697,24,f
1461,1515915625519506168,70,m
1462,1515915625519506123,27,f
1465,1515915625519506525,40,m
1467,1515915625519506707,19,f
1469,1515915625519506770,74,m
1470,1515915625519506771,63,f
1471,1515915625519506926,24,m
1472,1515915625519507001,46,m
1473,1515915625519507065,28,m
1475,1515915625518785109,84,f
1477,1515915625519507420,26,m
1478,1515915625519506935,51,f
1479,1515915625519507366,81,f
1481,1515915625504714248,48,m
1486,1515915625519508283,34,m
1487,1515915625519508328,30,f
1488,1515915625519508332,83,m
1489,1515915625519508379,48,f
1490,1515915625519508139,56,f
1491,1515915625519506483,69,m
1492,1515915625519507205,44,m
1495,1515915625519508903,23,m
1498,1515915625519509281,66,m
1499,1515915625519509339,24,f
1502,1515915625519509369,30,m
1503,1515915625437076695,35,m
1505,1515915625519509862,18,m
1508,1515915625519509942,80,f
1509,1515915625519509965,41,f
1510,1515915625383285331,18,f
1511,1515915625518905018,82,m
1512,1515915625519510328,64,m
1514,1515915625519509881,44,m
1516,1515915625519510823,28,f
1518,1515915625519510978,36,m
1523,1515915625519511410,64,m
1524,1515915625519511433,41,m
1525,1515915625519511074,39,m
1526,1515915625519511621,19,f
1527,1515915625519511724,51,m
1528,1515915625519376099,35,m
1529,1515915625519511801,21,m
1531,1515915625519511831,19,m
1533,1515915625519364335,63,m
1534,1515915625519511875,58,f
1535,1515915625394839850,37,f
1536,1515915625519511913,18,m
1538,1515915625519512020,25,m
1543,1515915625519512221,25,f
1546,1515915625519512483,80,m
1547,1515915625519512488,31,m
1548,1515915625519298412,29,m
1549,1515915625519512543,50,m
1551,1515915625519497505,76,f
1552,1515915625519512848,34,f
1553,1515915625519512901,53,m
1554,1515915625519512937,72,f
1555,1515915625517725581,43,m
1556,1515915625519171196,62,m
1558,1515915625519513225,20,m
1560,1515915625519064114,29,m
1561,1515915625519512549,64,m
1562,1515915625358685397,84,m
1564,1515915625519513669,68,m
1565,1515915625519513833,22,f
1567,1515915625355752940,65,m
1570,1515915625403968176,50,m
1571,1515915625519514006,61,f
1573,1515915625513126445,37,f
1575,1515915625519514210,48,f
1576,1515915625515721865,19,f
1577,1515915625519514422,72,m
1579,1515915625519514398,40,f
1580,1515915625393784152,55,m
1581,1515915625519514659,23,f
1582,1515915625519514676,23,m
1586,1515915625519514912,77,m
1588,1515915625519515017,29,m
1591,1515915625519515122,51,m
1592,1515915625519515143,34,m
1593,1515915625519514381,28,m
1599,1515915625519515516,54,m
1600,1515915625519510710,77,f
1603,1515915625494217393,80,m
1605,1515915625519516004,72,f
1606,1515915625440211241,47,m
1607,1515915625516378729,73,m
1609,1515915625519516622,50,m
1610,1515915625518239182,46,m
1611,1515915625519516312,23,m
1613,1515915625519516798,81,f
1617,1515915625519513902,80,f
1618,1515915625519517080,83,f
1623,1515915625519517186,55,m
1624,1515915625516621139,27,m
1625,1515915625519517366,78,m
1626,1515915625386067291,76,m
